Hospital ID,Hospital Name,State / Region,City,Locality / Area,Primary Specialties / Centers of Excellence,Bed Capacity (approx),Accreditations,Type,Emergency / Trauma Care (24x7),Key Facilities,Rating (out of 5.0),Contact / Helpline,Website URL,Listing Status
HOS-001,AIIMS New Delhi,Delhi NCR,New Delhi,Ansari Nagar,"Multi-Specialty, Cardiology, Neurology, Oncology",2200,"NABH, NABL",Govt,Yes,"ICU, Organ Transplant, Robotic Surgery",4.8,1800-11-3000,aiims.edu,Active
HOS-002,Medanta - The Medicity,Delhi NCR,Gurugram,Gurugram,"Cardiology, Neurology, Oncology",1250,"JCI, NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.7,1068,medanta.org,Active
HOS-003,Indraprastha Apollo Hospitals,Delhi NCR,New Delhi,Sarita Vihar,"Multi-Specialty, Organ Transplant",718,"JCI, NABH, NABL",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.6,1860-500-1066,apollohospitals.com,Active
HOS-004,Fortis Memorial Research Institute (FMRI),Delhi NCR,Gurugram,Gurugram,"Oncology, Neurology, Cardiology",1000,"JCI, NABH",Private,Yes,"ICU, Cath Lab, Robotic Surgery",4.6,105010,fmri.in,Active
HOS-005,Max Super Speciality Hospital,Delhi NCR,New Delhi,Saket,"Cardiology, Oncology, Orthopedics",500,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,011-26515050,maxhealthcare.in,Active
HOS-006,Sir Ganga Ram Hospital,Delhi NCR,New Delhi,Rajinder Nagar,Multi-Specialty,675,"NABH, NABL",Trust,Yes,"ICU, Organ Transplant, Cath Lab",4.5,011-25750000,sgrh.com,Active
HOS-007,BLK-Max Super Speciality Hospital,Delhi NCR,New Delhi,Pusa Road,"Oncology, Bone Marrow Transplant",650,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.4,011-30403040,blkhospital.com,Active
HOS-008,Artemis Hospital,Delhi NCR,Gurugram,Gurugram,"Multi-Specialty, Cardiology, Oncology",400,"JCI, NABH",Private,Yes,"ICU, Cath Lab, Robotic Surgery",4.5,0124-4511111,artemishospitals.com,Active
HOS-009,Jaypee Hospital,Delhi NCR,Noida,Noida,"Cardiology, Orthopedics, Oncology",504,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.3,1800-419-2222,jaypeehealthcare.com,Active
HOS-010,Fortis Escorts Heart Institute,Delhi NCR,New Delhi,Okhla,"Cardiology, Cardiac Surgery",310,"JCI, NABH",Private,Yes,"ICU, Cath Lab",4.6,105010,fortisescorts.in,Active
HOS-011,Kokilaben Dhirubhai Ambani Hospital,Maharashtra,Mumbai,Andheri West,"Multi-Specialty, Oncology, Neurology",750,"JCI, NABH, NABL",Private,Yes,"ICU, Robotic Surgery, Cath Lab",4.7,1800-309-1111,kokilabenhospital.com,Active
HOS-012,Lilavati Hospital and Research Centre,Maharashtra,Mumbai,Bandra West,"Multi-Specialty, Cardiology, Orthopedics",323,NABH,Trust,Yes,"ICU, Cath Lab",4.5,022-26751000,lilavatihospital.com,Active
HOS-013,Hinduja Hospital,Maharashtra,Mumbai,Mahim,"Multi-Specialty, Oncology, Neurology",400,"NABH, NABL",Trust,Yes,"ICU, Organ Transplant",4.6,022-24449199,hindujahospital.com,Active
HOS-014,Tata Memorial Hospital,Maharashtra,Mumbai,Parel,Oncology,600,NABH,Govt,Yes,"ICU, Robotic Surgery",4.8,022-24177000,tmc.gov.in,Active
HOS-015,Fortis Hospital,Maharashtra,Mumbai,Mulund,"Cardiology, Orthopedics",315,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.4,105010,fortismumbai.com,Active
HOS-016,H. N. Reliance Foundation Hospital,Maharashtra,Mumbai,Girgaon,"Multi-Specialty, Oncology",345,"JCI, NABH",Private,Yes,"ICU, Robotic Surgery, Cath Lab",4.7,1800-221-166,rfhospital.org,Active
HOS-017,Nanavati Max Super Speciality Hospital,Maharashtra,Mumbai,Vile Parle,"Multi-Specialty, Orthopedics",350,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.3,022-26267500,nanavatimaxhospital.org,Active
HOS-018,Bombay Hospital and Medical Research Centre,Maharashtra,Mumbai,Marine Lines,Multi-Specialty,725,NABH,Trust,Yes,"ICU, Cath Lab",4.4,022-22067676,bombayhospital.com,Active
HOS-019,Jaslok Hospital and Research Centre,Maharashtra,Mumbai,Pedder Road,"Multi-Specialty, Fertility, Oncology",343,NABH,Trust,Yes,"ICU, Organ Transplant",4.5,022-66573333,jaslokhospital.net,Active
HOS-020,Breach Candy Hospital,Maharashtra,Mumbai,Bhulabhai Desai Marg,"Multi-Specialty, Cardiology",212,NABH,Trust,Yes,"ICU, Cath Lab",4.6,022-23667788,breachcandyhospital.org,Active
HOS-021,Manipal Hospital,Karnataka,Bengaluru,HAL Old Airport Road,"Multi-Specialty, Cardiology, Oncology",600,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.6,1800-102-5555,manipalhospitals.com,Active
HOS-022,Narayana Institute of Cardiac Sciences,Karnataka,Bengaluru,Bommasandra,"Cardiology, Cardiac Surgery",1000,"JCI, NABH",Private,Yes,"ICU, Cath Lab",4.7,1800-309-0309,narayanahealth.org,Active
HOS-023,Apollo Hospital,Karnataka,Bengaluru,Bannerghatta Road,"Multi-Specialty, Oncology, Orthopedics",250,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,1860-500-1066,apollohospitals.com,Active
HOS-024,Fortis Hospital,Karnataka,Bengaluru,Bannerghatta Road,"Multi-Specialty, Cardiology",276,"JCI, NABH",Private,Yes,"ICU, Cath Lab",4.4,105010,fortishealthcare.com,Active
HOS-025,Aster CMI Hospital,Karnataka,Bengaluru,Hebbal,"Multi-Specialty, Neurology, Gastroenterology",500,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.6,080-43420100,asterhospitals.in,Active
HOS-026,St. John's Medical College & Hospital,Karnataka,Bengaluru,Koramangala,Multi-Specialty,1350,"NABH, NABL",Trust,Yes,"ICU, Cath Lab",4.4,080-22065000,stjohns.in,Active
HOS-027,Sakra World Hospital,Karnataka,Bengaluru,Marathahalli,"Orthopedics, Neurology",350,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.5,080-49694969,sakraworldhospital.com,Active
HOS-028,Manipal Hospital (Columbia Asia),Karnataka,Bengaluru,Yeshwanthpur,Multi-Specialty,150,NABH,Private,Yes,"ICU, Cath Lab",4.3,1800-102-5555,manipalhospitals.com,Active
HOS-029,BGS Gleneagles Global Hospitals,Karnataka,Bengaluru,Kengeri,"Multi-Specialty, Organ Transplant",500,NABH,Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,1800-123-11111,gleneaglesglobalhospitals.com,Active
HOS-030,SPARSH Hospital,Karnataka,Bengaluru,Infantry Road,"Orthopedics, Multi-Specialty",250,NABH,Private,Yes,"ICU, Cath Lab",4.4,080-61222000,sparshhospital.com,Active
HOS-031,Apollo Hospitals,Telangana,Hyderabad,Jubilee Hills,"Multi-Specialty, Cardiology, Oncology",550,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.6,1860-500-1066,apollohospitals.com,Active
HOS-032,Yashoda Hospitals,Telangana,Hyderabad,Somajiguda,"Multi-Specialty, Cardiology",500,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,040-45674567,yashodahospitals.com,Active
HOS-033,KIMS Hospitals,Telangana,Hyderabad,Secunderabad,"Multi-Specialty, Organ Transplant",1000,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.6,040-44885000,kimshospitals.com,Active
HOS-034,Continental Hospitals,Telangana,Hyderabad,Gachibowli,"Multi-Specialty, Oncology, Orthopedics",750,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,040-67000000,continentalhospitals.com,Active
HOS-035,Care Hospitals,Telangana,Hyderabad,Banjara Hills,"Cardiology, Multi-Specialty",435,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.4,040-61656565,carehospitals.com,Active
HOS-036,AIG Hospitals,Telangana,Hyderabad,Gachibowli,"Gastroenterology, Multi-Specialty",800,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.8,040-42444222,aighospitals.com,Active
HOS-037,Nizam's Institute of Medical Sciences (NIMS),Telangana,Hyderabad,Punjagutta,Multi-Specialty,1489,NABH,Govt,Yes,"ICU, Cath Lab",4.3,040-23489000,nims.edu.in,Active
HOS-038,Star Hospitals,Telangana,Hyderabad,Banjara Hills,"Cardiology, Cardiothoracic Surgery",310,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.5,040-44777700,starhospitals.in,Active
HOS-039,Rainbow Children's Hospital,Telangana,Hyderabad,Banjara Hills,"Pediatrics, Obstetrics, Gynecology",250,NABH,Private,Yes,"NICU, PICU",4.7,1800-2122,rainbowhospitals.in,Active
HOS-040,Medicover Hospitals,Telangana,Hyderabad,Hitec City,"Multi-Specialty, Cardiology",250,NABH,Private,Yes,"ICU, Cath Lab",4.4,040-68334455,medicoverhospitals.in,Active
HOS-041,Apollo Hospitals,Tamil Nadu,Chennai,Greams Road,"Multi-Specialty, Cardiology, Oncology",700,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.7,1860-500-1066,apollohospitals.com,Active
HOS-042,Gleneagles Health City,Tamil Nadu,Chennai,Perumbakkam,"Multi-Specialty, Organ Transplant",1000,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.6,044-44773300,gleneaglesglobalhospitals.com,Active
HOS-043,MIOT International,Tamil Nadu,Chennai,Manapakkam,"Orthopedics, Multi-Specialty",1000,NABH,Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,044-42002288,miotinternational.com,Active
HOS-044,Fortis Malar Hospital,Tamil Nadu,Chennai,Adyar,"Cardiology, Multi-Specialty",180,NABH,Private,Yes,"ICU, Cath Lab",4.3,044-42892222,fortismalar.com,Active
HOS-045,SIMS Hospital,Tamil Nadu,Chennai,Vadapalani,"Multi-Specialty, Cardiology",345,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,044-20002001,simshospitals.com,Active
HOS-046,Kauvery Hospital,Tamil Nadu,Chennai,Alwarpet,"Multi-Specialty, Geriatrics",200,NABH,Private,Yes,"ICU, Cath Lab",4.4,044-40006000,kauveryhospital.com,Active
HOS-047,Madras Medical Mission,Tamil Nadu,Chennai,Mogappair,"Cardiology, Reproductive Medicine",300,NABH,Trust,Yes,"ICU, Cath Lab",4.6,044-26565961,madrasmedicalmission.org,Active
HOS-048,Sri Ramachandra Medical Centre,Tamil Nadu,Chennai,Porur,Multi-Specialty,800,"JCI, NABH",Trust,Yes,"ICU, Organ Transplant, Cath Lab",4.5,044-45928500,sriramachandra.edu.in,Active
HOS-049,Dr. Rela Institute & Medical Centre,Tamil Nadu,Chennai,Chromepet,"Multi-Specialty, Liver Transplant",450,NABH,Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.7,044-66667777,relainstitute.com,Active
HOS-050,MGM Healthcare,Tamil Nadu,Chennai,Nelson Manickam Road,"Multi-Specialty, Heart Transplant",400,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.6,044-45242424,mgmhealthcare.in,Active
HOS-051,Apollo Multispeciality Hospitals,West Bengal,Kolkata,EM Bypass,"Multi-Specialty, Cardiology, Oncology",700,"JCI, NABH",Private,Yes,"ICU, Organ Transplant, Robotic Surgery",4.6,1860-500-1066,apollohospitals.com,Active
HOS-052,Fortis Hospital,West Bengal,Kolkata,Anandapur,"Multi-Specialty, Cardiology, Pulmonology",400,"NABH, NABL",Private,Yes,"ICU, Cath Lab",4.5,033-66284444,fortishealthcare.com,Active
HOS-053,AMRI Hospitals,West Bengal,Kolkata,Dhakuria,"Multi-Specialty, Oncology, Neurology",300,NABH,Private,Yes,"ICU, Cath Lab",4.4,033-66800000,amrihospitals.in,Active
HOS-054,Medica Superspecialty Hospital,West Bengal,Kolkata,Mukundapur,"Cardiology, Orthopedics, Neurology",400,"NABH, NABL",Private,Yes,"ICU, Organ Transplant, Cath Lab",4.5,033-66520000,medicahospitals.in,Active
HOS-055,Peerless Hospital,West Bengal,Kolkata,Panchasayar,"Multi-Specialty, Gastroenterology",400,NABH,Private,Yes,"ICU, Cath Lab",4.3,033-40111222,peerlesshospital.com,Active
HOS-056,Belle Vue Clinic,West Bengal,Kolkata,Loudon Street,"Multi-Specialty, Nephrology",372,"NABH, NABL",Trust,Yes,"ICU, Cath Lab",4.4,033-22872321,bellevueclinic.com,Active
HOS-057,Woodlands Multispeciality Hospital,West Bengal,Kolkata,Alipore,"Multi-Specialty, Cardiology",250,NABH,Private,Yes,"ICU, Cath Lab",4.5,033-24567075,woodlandshospital.in,Active
HOS-058,Ruby General Hospital,West Bengal,Kolkata,Kasba,"Multi-Specialty, Trauma Care",316,NABH,Private,Yes,"ICU, Cath Lab",4.2,033-39871800,rubyhospital.com,Active
